,precision,recall,f1
A Priori Concepts,0.29473684210526313,0.10894941634241245,0.1590909090909091
Emerging Concepts,0.0970873786407767,0.10638297872340426,0.10152284263959391
Concepts Overall,0.3686868686868687,0.20977011494252873,0.2673992673992674
Forward References,0.25,0.3333333333333333,0.28571428571428575
Backward References,0.11764705882352941,0.2,0.14814814814814817
References Overall,0.21052631578947367,0.36363636363636365,0.26666666666666666
Overall Average,0.2896065922381712,0.2867032392894462,0.26703296703296703
