,precision,recall,f1
A Priori Concepts,0.39351851851851855,0.33073929961089493,0.3594080338266385
Emerging Concepts,0.14485981308411214,0.32978723404255317,0.20129870129870128
Concepts Overall,0.47674418604651164,0.5890804597701149,0.5269922879177378
Forward References,0.05263157894736842,0.6666666666666666,0.09756097560975609
Backward References,0.08333333333333333,0.4,0.13793103448275862
References Overall,0.05194805194805195,0.36363636363636365,0.09090909090909091
Overall Average,0.2643461189972818,0.4763584117032393,0.30895068941341436
