,precision,recall,f1
A Priori Concepts,0.10974088956630179,0.08560311284046693,0.09618070313923127
Emerging Concepts,0.07498754359740907,0.07446808510638298,0.07472691161866933
Concepts Overall,0.19953093992422874,0.16091954022988506,0.17815721649484537
Forward References,0.0,0.0,0.0
Backward References,0.09448818897637795,0.1,0.09716599190283401
References Overall,0.22613065326633164,0.2727272727272727,0.24725274725274723
Overall Average,0.2128307965952802,0.2168234064785789,0.2127049818737963
