,precision,recall,f1
A Priori Concepts,0.2616822429906542,0.10894941634241245,0.15384615384615383
Emerging Concepts,0.10989010989010989,0.10638297872340426,0.10810810810810811
Concepts Overall,0.3686868686868687,0.20977011494252873,0.2673992673992674
Forward References,0.16666666666666666,0.3333333333333333,0.2222222222222222
Backward References,0.2,0.2,0.20000000000000004
References Overall,0.3076923076923077,0.36363636363636365,0.33333333333333337
Overall Average,0.3381895881895882,0.2867032392894462,0.3003663003663004
